Date,High,Low
2007-01-01,62,39
2007-01-02,62,44
2007-01-03,62,42
2007-01-04,57,45
2007-01-05,54,44
2007-01-06,55,36
2007-01-07,62,45
2007-01-08,66,48
2007-01-09,63,39
2007-01-10,57,37
2007-01-11,50,37
2007-01-12,48,35
2007-01-13,48,30
2007-01-14,48,28
2007-01-15,53,28
2007-01-16,50,30
2007-01-17,57,37
2007-01-18,61,33
2007-01-19,55,35
2007-01-20,61,35
2007-01-21,64,43
2007-01-22,61,36
2007-01-23,57,35
2007-01-24,60,35
2007-01-25,55,39
2007-01-26,54,44
2007-01-27,57,48
2007-01-28,59,45
2007-01-29,63,45
2007-01-30,59,41
2007-01-31,55,48
2007-02-01,53,46
2007-02-02,55,44
2007-02-03,59,37
2007-02-04,66,39
2007-02-05,64,43
2007-02-06,61,46
2007-02-07,61,51
2007-02-08,60,51
2007-02-09,61,55
2007-02-10,62,55
2007-02-11,61,46
2007-02-12,59,43
2007-02-13,57,46
2007-02-14,61,39
2007-02-15,64,44
2007-02-16,71,46
2007-02-17,73,51
2007-02-18,60,46
2007-02-19,63,44
2007-02-20,57,45
2007-02-21,59,48
2007-02-22,55,44
2007-02-23,55,42
2007-02-24,57,39
2007-02-25,55,48
2007-02-26,57,44
2007-02-27,53,39
2007-02-28,53,37
2007-03-01,54,37
2007-03-02,61,39
2007-03-03,66,43
2007-03-04,70,48
2007-03-05,68,53
2007-03-06,69,46
2007-03-07,62,51
2007-03-08,61,46
2007-03-09,60,45
2007-03-10,68,46
2007-03-11,79,48
2007-03-12,80,52
2007-03-13,73,53
2007-03-14,64,48
2007-03-15,78,46
2007-03-16,78,50
2007-03-17,62,51
2007-03-18,66,46
2007-03-19,64,48
2007-03-20,60,48
2007-03-21,66,46
2007-03-22,73,43
2007-03-23,78,48
2007-03-24,68,48
2007-03-25,64,53
2007-03-26,66,48
2007-03-27,57,46
2007-03-28,66,42
2007-03-29,73,42
2007-03-30,72,46
2007-03-31,69,46
2007-04-01,64,46
2007-04-02,69,46
2007-04-03,71,46
2007-04-04,69,50
2007-04-05,71,52
2007-04-06,64,52
2007-04-07,68,51
2007-04-08,71,51
2007-04-09,66,50
2007-04-10,72,46
2007-04-11,63,50
2007-04-12,64,46
2007-04-13,70,44
2007-04-14,57,51
2007-04-15,68,46
2007-04-16,75,46
2007-04-17,62,48
2007-04-18,61,45
2007-04-19,57,42
2007-04-20,64,46
2007-04-21,61,43
2007-04-22,63,48
2007-04-23,70,44
2007-04-24,66,46
2007-04-25,66,48
2007-04-26,69,48
2007-04-27,82,50
2007-04-28,81,55
2007-04-29,70,53
2007-04-30,77,51
2007-05-01,70,48
2007-05-02,66,52
2007-05-03,63,48
2007-05-04,64,51
2007-05-05,73,46
2007-05-06,88,54
2007-05-07,91,57
2007-05-08,84,60
2007-05-09,73,55
2007-05-10,57,52
2007-05-11,64,51
2007-05-12,64,50
2007-05-13,72,46
2007-05-14,66,50
2007-05-15,63,51
2007-05-16,70,48
2007-05-17,68,50
2007-05-18,73,50
2007-05-19,70,52
2007-05-20,73,51
2007-05-21,78,54
2007-05-22,81,51
2007-05-23,86,55
2007-05-24,78,55
2007-05-25,69,54
2007-05-26,69,55
2007-05-27,69,54
2007-05-28,73,52
2007-05-29,69,53
2007-05-30,66,55
2007-05-31,64,54
2007-06-01,66,54
2007-06-02,64,54
2007-06-03,70,55
2007-06-04,73,59
2007-06-05,68,55
2007-06-06,70,53
2007-06-07,75,51
2007-06-08,70,50
2007-06-09,75,53
2007-06-10,75,55
2007-06-11,75,53
2007-06-12,79,52
2007-06-13,90,59
2007-06-14,89,60
2007-06-15,86,59
2007-06-16,72,55
2007-06-17,79,53
2007-06-18,79,57
2007-06-19,73,55
2007-06-20,71,55
2007-06-21,77,55
